"","aju1A","aju1B","aju1C","aju1D","aju1E","aju1F","aju1G","aju2A","aju2B","aju2C","aju2D","aju2E","aju2F","aju3A","aju3B","aju3C","aju3D","aju3E","aju4A","aju4B","aju4C","aju4D","aju4E","aju4F","aju5A","aju5B","aju5C","aju5D","aju5E","aju5G","aju6A","aju6B","aju6C","aju6D","aju6E","aju6F","aju7A","aju7B","aju7C","aju7D","aju8A","aju8B","aju8C"
"ASV88",151,34,0,0,42,54,0,47,19,34,45,7,0,150,0,0,0,0,114,32,0,0,0,0,67,0,0,0,4,23,89,29,78,0,27,5,0,4,0,0,264,57,72
"ASV239",4,2,0,0,1,1,0,2,18,1,3,1,3,2,0,0,3,0,3,0,0,0,0,0,5,0,1,0,1,1,5,0,0,0,0,3,3,6,0,5,4,2,4
"ASV167",14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,71,17,0,0,0,0,174,0,7,0,0,33,0,0,0,0,0,0,0,0,0,0,10,0,0
"ASV504",0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ASV505",0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ASV15",615,593,0,0,506,135,0,167,232,124,199,80,222,465,0,0,5,0,1128,1074,141,127,0,166,286,16,54,0,6,263,190,525,511,38,492,387,2301,582,3056,729,89,155,197
"ASV67",0,0,0,0,0,0,0,0,0,0,0,0,0,135,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,96,0,0,0,0,0,0,619,162,979,221,0,0,0
"ASV234",0,0,0,0,0,0,0,0,10,12,25,0,0,0,0,0,0,0,0,17,0,0,0,0,0,0,0,0,0,32,0,0,0,0,0,0,0,0,0,0,0,0,0
"ASV230",6,5,0,0,9,0,0,1,2,1,1,0,0,17,0,0,4,0,1,0,0,13,0,0,0,0,5,0,4,1,1,1,0,0,0,1,11,13,6,0,0,0,0
"ASV68",209,256,0,0,168,61,0,71,80,39,52,36,47,19,0,0,7,0,166,214,34,0,0,54,56,0,15,0,0,143,59,49,47,0,48,0,0,11,0,37,40,76,48
"ASV303",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,22,0,0,0,0,0,0,0
"ASV256",5,4,0,0,1,2,0,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,4,8,0,6,0,6,21
"ASV39",429,426,0,5,427,24,3,194,183,167,237,0,78,142,10,0,30,0,454,634,0,27,31,115,0,11,32,0,36,208,355,280,272,0,498,307,30,130,0,36,25,89,92
"ASV37",460,448,0,10,464,78,0,153,151,150,215,68,37,144,0,0,0,0,483,732,114,27,13,124,144,0,145,0,0,245,353,321,245,40,471,387,0,63,9,62,23,0,28
"ASV173",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,138,0,0,0,0,155,0,0,0,0,0,0,0,0,0,0,0,0,0
"ASV20",644,271,0,0,170,177,0,345,612,446,684,131,199,1025,6,0,11,0,1330,579,41,77,9,72,177,0,14,0,5,150,170,246,196,27,307,212,124,347,153,484,639,1921,1541
"ASV121",110,166,0,0,113,76,0,20,36,18,31,0,0,0,0,0,0,0,19,42,0,0,0,0,0,0,0,0,0,49,0,0,0,0,0,0,0,26,0,23,0,0,0
"ASV148",26,22,0,0,19,32,0,0,0,0,0,0,0,0,0,0,0,0,22,36,26,22,6,8,0,0,0,0,0,0,2,34,23,5,41,30,0,0,0,0,19,42,15
"ASV172",0,0,0,0,0,0,0,29,43,33,46,10,26,0,0,0,0,0,0,25,0,0,0,26,0,0,11,0,0,0,0,0,0,0,0,0,0,24,0,20,0,0,0
"ASV124",39,63,0,0,48,7,0,0,0,0,0,0,0,0,0,0,0,0,48,105,0,9,0,26,0,0,0,0,0,0,44,67,39,0,75,61,0,0,0,0,0,16,56
