"","aju1A","aju1B","aju1C","aju1D","aju1E","aju1F","aju1G","aju2A","aju2B","aju2C","aju2D","aju2E","aju2F","aju3A","aju3B","aju3C","aju3D","aju3E","aju4A","aju4B","aju4C","aju4D","aju4E","aju4F","aju5A","aju5B","aju5C","aju5D","aju5E","aju5G","aju6A","aju6B","aju6C","aju6D","aju6E","aju6F","aju7A","aju7B","aju7C","aju7D","aju8A","aju8B","aju8C"
"ASV243",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,6,14,36,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ASV219",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,65,24,17,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ASV214",0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,6,66,40,0,0,0,0,0,0,0
"ASV310",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,20,0,0,0,0,0,0,0
"ASV213",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,39,65,0,0,0,0,0,0,0
"ASV269",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,46,0,0,0,0,0,0,0,0,0,0
"ASV130",0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,29,16,0,0,3,0,441,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,9,32,18
"ASV16",0,0,0,0,0,0,0,0,52,5,0,9,13,2968,122,76,0,36,1993,1609,247,49,44,107,6033,40,89,26,35,51,110,35,147,9,21,8,0,0,0,0,884,477,349
"ASV406",0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ASV90",0,0,0,0,0,0,0,0,0,0,0,0,0,260,5,0,0,7,419,121,0,0,0,0,500,0,22,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ASV240",0,0,0,0,0,0,0,0,0,0,0,0,0,5,6,2,1,0,27,15,0,0,0,2,20,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ASV135",0,0,0,0,0,0,0,0,0,0,0,0,0,181,0,0,0,0,133,134,0,0,0,0,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ASV190",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,80,0,0,0,0,75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ASV215",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60,51,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ASV150",0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,161,106,0,0,0,0,47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ASV225",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,80,0,0,0,0,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ASV36",0,0,0,0,0,0,0,65,0,0,0,0,13,1359,13,0,42,0,1669,1946,49,35,73,0,1394,74,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ASV73",0,0,0,0,0,0,0,0,0,0,0,0,0,574,0,11,0,0,530,436,0,0,0,0,424,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ASV184",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,55,90,0,0,0,0,55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ASV179",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,53,61,0,20,23,79,0,0,0,0,0,0,0
"ASV9",683,662,18,22,99,129,0,103,909,518,359,211,1154,862,77,12,276,0,1056,1312,180,39,15,123,4632,20,206,0,56,42,1027,1069,637,553,867,1198,50,33,12,45,16,0,19
"ASV153",0,0,0,0,0,0,0,0,0,0,0,0,0,245,0,0,0,0,59,36,0,0,0,0,66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ASV21",511,914,35,121,621,195,49,84,400,239,247,101,249,159,0,8,41,0,478,749,243,290,24,252,2912,33,267,35,51,168,522,416,813,150,298,224,0,0,0,0,0,19,26
"ASV176",0,47,0,0,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,128,0,0,0,0,0,0,0,57,0,0,0,0,0,0,0,0,0,0
"ASV162",48,0,0,0,0,0,0,0,5,48,0,19,4,0,0,0,0,0,26,5,35,30,0,0,48,0,0,0,0,0,6,4,11,26,37,2,0,0,0,0,0,0,0
"ASV102",0,0,0,0,0,0,0,0,0,0,0,0,0,114,0,0,0,0,0,8,0,0,0,0,880,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ASV299",11,7,0,5,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"ASV85",0,299,83,730,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,0,0,277,0,70,78,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ASV59",0,0,0,0,0,0,0,0,0,0,0,0,0,1634,51,520,92,40,0,106,0,14,133,0,405,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ASV192",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,44,0,0,0,0,109,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ASV206",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,134,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ASV391",0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0
"ASV56",79,0,0,0,0,0,0,0,220,56,50,52,386,0,0,0,0,0,610,511,0,55,0,0,0,0,44,0,0,42,456,221,282,0,133,154,0,0,0,0,0,0,0
"ASV57",38,27,0,0,14,0,0,7,30,0,19,0,0,15,0,0,0,0,409,503,60,60,11,83,1371,10,84,0,12,196,149,26,49,12,57,34,0,0,0,0,17,22,6
"ASV132",28,34,1,0,4,4,0,2,31,20,14,6,18,3,11,0,35,0,10,5,2,0,0,3,42,6,3,0,36,0,43,23,30,11,30,36,0,0,0,14,0,0,1
"ASV54",142,260,12,26,130,40,4,28,110,76,58,11,84,43,0,0,0,0,108,213,65,66,19,62,870,8,68,4,13,27,176,171,292,45,75,71,0,0,0,6,0,0,6
"ASV111",16,6,0,0,3,0,0,8,14,0,5,0,0,5,0,0,0,0,136,118,18,11,1,22,309,0,23,0,2,58,61,7,9,4,16,5,0,0,0,0,12,0,0
"ASV187",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,0,0,0,0,166,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ASV108",0,0,0,0,0,0,0,0,77,0,0,21,101,0,0,0,0,0,193,159,0,0,0,0,0,0,0,0,0,0,171,41,96,0,39,0,0,0,0,0,0,0,0
"ASV142",0,0,0,0,0,0,0,0,0,0,2,2,2,37,10,5,0,0,214,163,10,11,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
